chatbot_sid,time,user_id,turns,category,course,language,pred,query_kind,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning
3c8c5325-d12f-4fe8-a038-f23f2c5b4891,2026-07-06T12:59:10.768Z,1,17,,,,,,5,5,3,8.666666666666668,Academic | Slotfill,,,0.9500,13571,198,0.002154,"The bot effectively addresses the user's math homework questions and provides a detailed daily timetable as requested, with no factual or procedural errors. Although the user expressed some confusion, the bot offered clear explanations and invited further questions, resulting in no bot failures. The session includes slotfill outputs but these are appropriate and accepted by the user, so no issues are tagged."
0b2f59dd-688f-461c-b803-59b52886e128,2026-07-06T13:39:36.658Z,1,10,,,,,,5,5,3,8.666666666666668,Academic | Specific Named Resource | Speech to Text | Slotfill,,,0.9800,13036,220,0.002087,"The bot provided accurate and complete academic explanations and proofs aligned with the user's questions, including references to theorems and geometric concepts. There were no technical or content failures, and no evidence of user frustration or repeated re-asks. The session is a straightforward academic Q&A with speech-to-text modality."
268ac6b9-23b9-4080-aaef-ee0ee32bf670,2026-07-06T16:57:19.944Z,1,30,,,,,,5,5,5,10,Academic | Not Math/Science | Speech to Text | Slotfill,,,0.9500,28444,252,0.004418,"The bot consistently provides detailed, relevant, and accurate responses to the user's requests without any failures or misunderstandings. There are no indications of ignored corrections, context failures, or unwanted template pushes. The user sentiment is positive and appreciative."
0c5704c7-0b73-429b-b418-2b854406247c,2026-07-06T15:58:55.313Z,1,6,,,,,,2,2,3,4.666666666666667,Academic | Mock / Practice Questions | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,Unwanted Template Push,0.9500,11632,375,0.001970,"The session is academic with multiple modality tags including image upload and slotfill. The bot provided mostly correct explanations but ended with an out-of-scope Type: TEST_PREP slotfill for worksheet creation, which does not fit the user's direct conversational intent and broad request, resulting in an Unwanted Template Push. There are no other critical failures, and user sentiment is neutral."
296b3d6e-4c05-4186-a857-480b23f2598c,2026-07-06T12:26:15.705Z,1,41,,,,,,1,1,2,2.6666666666666665,Academic | Non-CBSE Board | Not Math/Science | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,Unwanted Template Push | Level/Board Mismatch,0.9800,21686,470,0.003535,"The session is academic with multiple subjects and modalities including image uploads and speech-to-text. The user explicitly named a non-CBSE board (HBSE), but the bot pushed a CBSE-specific TEST_PREP template for trigonometry formula revision, which is out-of-scope and constitutes an unwanted template push and level/board mismatch. Otherwise, the bot provided generally accurate and helpful academic content with no other critical failures."
3107f8cc-af92-4f06-b819-eca941f4ab58,2026-07-06T15:09:30.333Z,1,15,,,,,,1,1,2,2.6666666666666665,Academic | Not Math/Science | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,Unwanted Template Push | Image Gone Exception,0.9500,15648,417,0.002597,"The session is academic with literature and math content, including image uploads and speech-to-text inputs. The bot correctly answers many questions but fails by pushing an out-of-scope TEST_PREP template and then providing no response to a final image-based question, causing significant failures. These issues reduce goal resolution and technical reliability, and user sentiment is likely low due to repeated incomplete or missing answers."
6e57fac4-9693-4fbc-bc45-d706e26fe5e8,2026-07-06T13:49:02.281Z,1,17,,,,,,1,1,2,2.6666666666666665,Academic | Non-CBSE Board | Specific Named Resource | Image Upload | Slotfill | Blurry / Unclear Image,,Unwanted Template Push | Level/Board Mismatch,0.9500,14493,448,0.002443,"The session is academic with multiple subject topics and includes image uploads and slotfill templates. The user explicitly named a non-CBSE board (RBSE), but the bot pushed a CBSE TEST_PREP template which is out-of-scope, causing both Unwanted Template Push and Level/Board Mismatch issues. The bot also noted the image was unclear, justifying the Blurry / Unclear Image tag. Overall, the bot failed to align content properly with the user's board and request type."
1b3786f7-35d6-4d43-848b-f96ca08c263d,2026-07-06T06:35:06.030Z,30789719,10,,,,,,1,1,2,2.6666666666666665,Academic | Class 5 and Below CBSE | Not Math/Science | Mock / Practice Questions | Specific Named Resource | Slotfill,,Unwanted Template Push | Class Mismatch,0.9500,13164,447,0.002243,"The session is academic with multiple requests for practice questions and lesson-specific content for early primary classes. However, the bot incorrectly pushed a Type: TEST_PREP template intended for CBSE math/science classes 5–12, which is out of scope for the user's class and subject, resulting in Unwanted Template Push and Class Mismatch issues. Despite these failures, the bot provided relevant direct answers and model classwork for the requested lessons."
5a176d08-d1f9-4785-bb9a-65ba356e1b39,2026-07-06T10:06:33.256Z,1,8,,,,,,5,5,3,8.666666666666668,Academic | Not Math/Science | Slotfill,,,0.9500,10890,213,0.001761,"The bot provided accurate and helpful corrections for English sentence queries without any failures or misunderstandings. The session involved slotfill but the user did not reject it or request direct answers, so no issues are present. User sentiment is neutral with no explicit positive or negative feedback."
75eec672-a8bc-43ec-afd7-0651e1b93f08,2026-07-06T14:47:58.647Z,1,27,,,,,,5,5,3,8.666666666666668,Academic | Slotfill,,,0.9500,19195,203,0.003001,"The conversation is a clear academic tutoring session in Bengali focused on math concepts for class 6, including division and fractions, with the bot using slotfill templates appropriately for reminders. There are no evident bot failures or user complaints, and the bot maintains context well throughout. User sentiment is neutral without explicit positive or negative feedback."
