"chatbot_sid","time","user_id","message_count","axis1","axis2","axis3","overall_score","category_tags","issue_tags","tags","reasoning"
"5d467c37-f4b4-4780-ac98-f76f5d6627de","6/7/2026, 7:17:34 PM","30500864","8","1","1","1","1","Image Upload | Slotfill","Error","Slotfill | Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5e95f26b-c9e0-4897-a73a-01f06602b6d2","6/7/2026, 1:40:10 PM","1","19","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"efdea7fe-8eb6-4b74-a977-0b3ab8305583","6/7/2026, 5:37:03 PM","1","5","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"39cef37f-92af-4c13-abab-179d4f06f13c","6/7/2026, 5:09:29 PM","1","30","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f2753a82-3d3d-4c59-89a4-db444cd27eb7","6/7/2026, 4:25:52 PM","1","3","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"2f3f7e8f-3cf9-4944-b7d9-1193f93aee3a","6/7/2026, 10:16:02 AM","1","7","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"501ac446-2e0c-419a-92a8-8820cc9d3a67","6/7/2026, 11:43:11 PM","1","7","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"7be54f1d-0d62-40a6-8a97-afb8699c193e","6/7/2026, 5:15:45 PM","1","8","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"e94ba256-e43b-471f-8206-aaa584411232","6/7/2026, 8:16:46 PM","1","31","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"dcc1d510-723f-4266-bb6e-b360322e3184","6/7/2026, 10:33:44 PM","1","12","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5d7b6e5b-88fb-47e2-aa05-4e3807fee547","6/7/2026, 10:39:36 PM","30094299","3","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"8f37cffd-90fb-48e6-ae21-a0ca499cb09a","6/7/2026, 9:10:24 PM","1","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"436d5f44-cd41-4df1-9d3a-5890b1a6080e","6/7/2026, 9:54:06 PM","30405136","9","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
