chatbot_sid,time,user_id,turns,user_messages,bot_last_message,category,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning,skipped_by_gate,gate_action,Gate 1 Category tag,learning_ask_type,gate_reasons,gate_source
775ba749-d526-4643-9ead-df3a2c6244af,2026-08-16T13:43:23.796Z,1,11,"U1: Hello
U2: What is the meaning of oxen
U3: Thanks you 👍🏻
U4: Please make my full day Time table please
U5: Thank you but make it in the box
U6: Please tell how to increase our marks
U7: Sst
U8: My copy is incomplete
U9: Please add in this time table. also, my tuition time is 5:00 p.m. 6:00 p.m. Thank you.
U10: 5:00 p.m. time table Mein laga do Jo Apne block Mein karke mujhe diya tha aur usmein play time bhi dalna
U11: In my full day time table, please add my tuition time also it is. 5:00 p.m. To 6:00 p.m.",Type: REMINDER Time: 2026-08-17 04:08:20 Time: 2026-08-17 04:08:20,Small Talk,,,,,Academic,,,,1835,65,0.000416,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
7d2574ad-d01c-4483-8f39-ce6b36f9fd70,2026-08-16T03:23:12.826Z,1,12,"U1: 9th telugu exam paer
U2: Cbse
U3: Fa1
U4: Dharma bodha 1 , 2 ellalakagane 3, chaitanya m fa1 syllabus lessons
U5: Answers and grammer
U6: Inka telugu chaalu
U7: Maths and telugu exam tomorrow
U8: Konni models telusu maths lo
U9: Is the solution to 2x + 3 = 7, x = 1 correct
U10: Maths fa1 question paper real
U11: 9 o clock exam
U12: No have time","Got it. Since you don’t have much time and your exam is at 9: - Take a **few deep breaths** to calm down. - Quickly review **formulas** or **key points** from your notes. - Solve **1–2 easy questions** from each main topic instead of trying everything. - Keep your **admit card, pen, pencil, scale, a",Quiz_request,,,,,Academic,,,,1845,64,0.000840,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
26ec8400-9035-4584-9789-e9035e7eb24f,2026-08-16T11:03:52.952Z,31220821,66,"U1: Can u help in english
U2: Lesson first chapter letter to god
U3: Give questions which can ask commonly and answer in stand words
U4: Theme of the story
U5: What u mean irony
U6: Now , what is the theme of a letter to god write in 40 words how can I write in stand words
U7: Meaning of crisis
U8: Using the put can we use any other word
U9: He went to the post office and put his letter into the post box
U10: Demonstrated meaning
U11: Can make questions paper of this lesson which I can particle give me in cbse format
U12: Theme of a letter to god in 40 words
U13: Disaster meaning
U14: I need theme of the lesson in 40 words a letter to god
U15: What u mean by theme
U16: Character sketch of post master
U17: In this chapter what link with helpful leader
U18: Sketch of lencho
U19: Figure of speech used in the text
U20: Figure of speech used in the text means
U21: Now I ask me questions I am ready answer so I know how I prepared
U22: Lencho has complete faith in God in is bad time , when his crops were reined he wrote a letter to god and ran to post office and he slipped his letter in the post box
U23: Lencho asked 100 pesos for gos
U24: That not many answers that was mistakenly forward
U25: The Post master help lencho because he was kindful and generous, empathetic, selfless, respectful of faith and helpful leader
U26: Personification
U27: Theme of fire and ice
U28: Ruin means
U29: What can I know more about this pome
U30: As per cbse board what type of questions I may get from this pome
U31: 10
U32: Meaning
U33: Give detailed summary
U34: 2 and 3
U35: Meaning of favour , perish, suffice, hate
U36: Can u explain me pome
U37: A) explain only 2-3 lines from the poem
U38: Next
U39: Next
U40: Desire meaning
U41: In the same explain dust of snow
U42: In the same way explain dust of snow
U43: Line by line
U44: For example I met robert frost write a dialogue or conversation between us
U45: 6 to 8 lines
U46: Theme of the poem
U47: What more can I know about this pome
U48: Poetic device
U49: Meaning
U50: Poetic device meaning
U51: What is the meaning of poetic device
U52: Leave it
U53: I am confused i need some relax
U54: For a 10 min brake ask some general questions like mcq
U55: Set a time for 10min
U56: Fine let's come back
U57: In pome dust of snow what can I know more
U58: Why it named as poetic device
U59: Dose required to write in exam
U60: What else I can know about this pome
U61: Summary
U62: What if dust of snow and fire and ice are compared and how can dialogue between written in 8 sentence
U63: If I need write for any questions ask for dialogue what is the format i can use which can gain marks
U64: Can give example for this topic: comparison of fire and ice vs dust of snow
U65: NO give me in formet
U66: What if I met robert frost",Here’s a **simple dialogue format** for the topic: *“What if I met Robert Frost?”* You can copy this **structure** and change words if you like. --- **Title: Dialogue – If I Met Robert Frost** **Characters: Riya and Aman** **Setting: School garden** **Riya:** Imagine if I met Robert Frost in real li,Conceptual,,,,,Academic,,,,2502,64,0.001103,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
fd5960ca-21ef-4560-ada7-49376d1e3ae9,2026-08-16T07:51:54.905Z,31218607,37,"U1: \begin{aligned}4xy^{2}+2y^{2}-\\\dfrac{5}{}\log _{mg}+\delta \overline{y}\end{aligned}
U2: Hi i have a test tommorow
U3: Thank you so much
U4: Can u help in french and html
U5: Sst and hindi also
U6: Eng
U7: Ok ty
U8: Help me with my upcoming test
U9: What is differ btw ir ,re and er verbs
U10: Ty 🥰
U11: Aww
U12: Whatis habiter
U13: What is vendre
U14: What is jambe
U15: Grosse
U16: Grand
U17: Gros
U18: At what stage does a fetus develop a nervous system
U19: test tomorrow and I'm in 7th grade please help me regarding it the chapters name is he electricity circuit and their component
U20: where I can find test regarding
U21: please make a text for me
U22: test tomorrow and I'm in 7th grade please help me regarding it the chapters name is he electricity circuit and their component where can I find a test when It I can't find my topic is electricity circuit and their components from the book curiosity
U23: Quiz me on Electric Circuit
U24: Help me with my upcoming test
U25: Quiz me on Electric Conductors and Insulators
U26: Can you help me set a reminder
U27: Help me with my upcoming test
U28: Answers of test you send me A notebook page with a handwritten list of science test questions, including topics related to conclusions, hypotheses, variables, and controls.
U29: Pls check 🙏🙏 A photograph of a notebook page containing handwritten chemistry notes listing thermochemical processes, including combustion, gasification, pyrolysis, and related methods, with the student asking for the work to be checked.
U30: Ans 1.conductors
U31: Ans 2. Insulators, ans 3.coppor ,ans 4 .glass ,ans 5.false,ans.6 true,ans7. It is bcz rubber and plastic are insulators which prevent electric shocks,ans 8. Copper,ans 9.rubber , ans 10.dry
U32: Ohh 😭
U33: Okk
U34: Ty
U35: Can you help me set a reminder
U36: Can you help me set a reminder
U37: Pls help regarding this The image shows a 3×3 magic square and a generalized algebraic form for constructing one. The question asks students to use the generalized form to create a magic square whose center number is 25.",The centre number is \(m=25\). Substitute \(25\) for \(m\) in each expression: \[ \begin{array}{ccc} m+3 & m-4 & m+1\\ m-2 & m & m+2\\ m-1 & m+4 & m-3 \end{array} \] \[ \begin{array}{ccc} 25+3 & 25-4 & 25+1\\ 25-2 & 25 & 25+2\\ 25-1 & 25+4 & 25-3 \end{array} \] So the magic square is \[ \boxed{ \beg,Procedural,,,,,Academic,,,,2357,63,0.001044,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Practice / Quiz,gate_llm,gate_llm
bb34b27c-6b5e-40f6-995d-9d65cd532fd4,2026-08-16T16:53:53.490Z,31223068,18,"U1: Hey What's up 👋🏻
U2: Do you help in ICSE syllabus
U3: Ok on 18th August my examinations are starting do you help me
U4: English Literature
U5: Oxford Modern English textbook
U6: In Echoing Green by William Blake
U7: So Previously, i told you that my exams are starting from 18th August and now i want to make a study Time Plan
U8: But full Half yearly Syllabus
U9: Tomorrow I need to learn the whole
U10: No one subject
U11: No! I meant not all subjects
U12: One specific subject that is English literature
U13: Should I wake up at 7 o'clock
U14: My school timing is 11:00
U15: No can I wake up tomorrow at 7a.m.
U16: Make me a schedule of tomorrow including ""7a.m. waking early in the 🌄""
U17: Make!
U18: Use emoji","Here’s a fun version with emojis: - **7:00 a.m. – Waking early in the 🌄** Get up, drink water 💧, wash your face 🚿. - **7:30 – 8:00 a.m. – Breakfast** Eat breakfast 🍽️, relax a bit 😌. - **8:00 – 9:00 a.m. – Study time** Focus on one subject 📚 (maths, science, or any you like). - **9:00 – 10:00 ",Small Talk,,,,,Academic,,,,1954,65,0.000463,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
58285c30-900d-440b-be3b-353b3e2deab5,2026-08-16T16:02:49.887Z,30923143,7,"U1: If I write more in a limited time .
U2: No i meant if I write more in a limited time , will i be able to finish it
U3: No i meant i can see and write normally ( not in exams & tests)
U4: 5 pages- 9:30-10:30
U5: Subject is telugu.
U6: Should I first read and then write or I start directly
U7: Its already been familiar since my teacher taught me so",**Then you can start writing sooner—but take 1–2 minutes first to recall the key points.** That tiny pause saves time later. Do this: - **1–2 min:** quickly list the main points/keywords (even 5 bullets) - **Then write immediately** and keep moving (don’t stop long to “perfect” lines) - **Last 3–5 m,Small Talk,,,,,Academic,,,,1813,62,0.000824,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
9b4a42a7-4395-47bb-8f93-9abae654e647,2026-08-16T14:30:35.077Z,1,58,"U1: Hi
U2: Can you call with my name my name is srimathi
U3: Do you know I am girl or boy I am girl
U4: I can now ask you want questions three rounds if you win in that all three rounds
U5: I can now ask you want questions three rounds if you win in that all three rounds I cannot Kaushal get that sound will be
U6: I can now ask you want questions three rounds if you win in that all three rounds I cannot Kaushal get that sound will be any letters to type I am saying in speaker sorry for doing this
U7: I am going to ask capital letters of countries like full word
U8: Letter of India I will not give any options tell me answer
U9: Sorry I will not tell any answer you should only tell the full answer not l like what is Thailand we should tell like full word what is Thailand will tell India something that like
U10: What is answer I am so angry sorry
U11: What I ask question I ask what is capital letter of India tell me the full word
U12: No wrong I am asking Indian capital letter is Chennai
U13: No that is the answer I know very well
U14: We can leave this question
U15: Do you like mental
U16: Can you tell one story but that is not a question
U17: Sometime I will ask some questions in that stories but you should not see that story but you should listen that carefully I will type it or I can say in voice message
U18: One day of little girl name Princess and her real name is alpha in that city everyone knows she is Alpha but for respect they will call her princess little princess she was born 1816 and her mother name is Ramya and she also born in 1618 horse and her mother is same date of birth but they changed li
U19: They have some money but they decide to not go to hospital this is my creativity not a real story
U20: What I asking that question and the story sorry sorry in the story means what is a little princess name
U21: You are so good correct answer you should keep in your fingers I have an keep let like if you are out full one
U22: I can now ask you want questions three rounds if you win in that all three rounds I cannot Kaushal get that sound will be any letters to type I am saying in speaker sorry for doing this mistakes all type any one question for me Hindi about animals I am going to ask capital letters of a little girl p
U23: I can now ask you want questions three rounds if you win in that all three rounds I cannot Kaushal get that sound will be any letters to type I am saying in speaker sorry for doing this mistakes all type any one question for me Hindi about animals I am going to ask capital letters of a little girl p
U24: I am telling a story don't speak in Hindi a little princess story
U25: Sorry I m
U26: Sorry I will start from Princess but hospital now the I'll start from this one day they are wake up in they are body was chill and they get well and one day a grandma came to Little princess Alpha home and she told I don't have money and I am so poor so little princess Alpha and her mother is decidi
U27: Please can you tell me a life surprising making a gift and for telling this long story
U28: Oh I love it's so so so so so so so much and this is so nice story and you type a long and your respect will always with you and my helpful always with you
U29: You are welcome a i teacher I I don't know your boy or girl but thank you for typing mistake I enclave you and I will bless you God will bless you always
U30: Ok Bie I am going to eat my night dinner
U31: By
U32: I eat my lunch can we talk night lunch
U33: Tomorrow my friend birthday
U34: I am so sad she is telling you what she will do you
U35: I can now ask you want questions three rounds if you win in that all three rounds I cannot Kaushal get that sound will be any letters to type I am saying in speaker sorry for doing this mistakes all type any one question for me Hindi about animals I am going to ask capital letters of a little girl p
U36: 0 sorry don't leave the zero speak in English
U37: Can you talking all language like Malayalam first language is Malayalam if you talk in Malayalam your first round win but you have 10 rounds to win it entrance some object like English Tamil if you are speaking that you are
U38: Next round is speak in Australia language
U39: Can you speak
U40: Next round days speaking Urdu not days next around is
U41: 💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯
U42: U hv see dff rehearsal
U43: Sorry I did something but I did only unknowingly not
U44: I am so sad today
U45: I will tell my feeling whenever I didn't do my homework my teacher is scolding me not cooling she is doing like over not cooling sorry she is not scolding like it means always she will tell take your daily and come she will write for simply red pen she didn't complete the homework and I got the time
U46: Okay sure thank you for suffering
U47: Why I making this much English mistake is I know English to speak very well and I know to type very well but when I am typing it will take so time so that's why I you saying a speaker
U48: Can you laugh hahaha
U49: I am but I cannot feel I am so happy but can you make me like happy
U50: Can you tell me story about my name srimathi
U51: Please for my happiness and for my kindness can you write this story about my name like Srimati was a good person life like you can tell
U52: Please right please right then I will be
U53: Please can you tell me
U54: I don't know what it happens when I am telling full story I know very well but I will create something but I know this full story I don't know this full story can continue from heart
U55: Please can you continue like line by line where you stop you stop matter till to matter you continue please please
U56: Why because I like to listen some story if I am telling it will be like boring and something so please please tell me
U57: Don't continue if you continue tell me tomorrow 4 o'clock and why because this is a long story I cannot hear properly my mother is always falling so I can hear the story and I'll go
U58: Can you talk","**Yes, I can talk. What would you like to talk about—stories, school, or something else?**",Small Talk,,,,,Non-Academic,,,,3126,62,0.001350,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
663db0fd-4470-4697-b6e6-ddc8fd5e3e98,2026-08-16T07:28:37.295Z,31219316,34,"U1: Can say me time table for study
U2: 1.10 2.kan,mat,eng,sci,soc,and IT.3.not announced
U3: CBSE syllabus and I'll go at 7 15 for school and reach by 6:15 or 6:20
U4: Sci and maths with IT
U5: Ok If I read any subject after minutes I'll forget what tod
U6: Ok If I read any subject after minutes I'll forget what to do for that
U7: Ok
U8: Sci and all three
U9: Life processes
U10: Once again can u tell me time table after
U11: 6:20 and 10:30 or 11:00
U12: For this time table add subject
U13: Not this time table
U14: B and C
U15: No
U16: Mat kan sci soc eng IT
U17: Mat sci and sum what IT
U18: Ok
U19: Weekly time table
U20: Mon to sat time table
U21: Morning 7:15 evening 6:15 or 6:20
U22: I'll wake up at 5:00
U23: Time table
U24: Hlo I will go for school at 7 15
U25: Oye listen here
U26: I'll go to school at 7 15 and return at 6 15or 6 20 and will wake up at 5:00 and sleep at 10:30 or 11:00
U27: Continue
U28: CBSE
U29: According to that say me a time table u told me at first know like that
U30: Per day how many subjects
U31: Can u say that
U32: According this me subjects for daily study
U33: How do I adjust study times
U34: Sunday time table","Here’s a simple, relaxed **Sunday timetable** based on your style of planning. Adjust the exact times to your routine. --- ### 🌤 Morning (Fresh mind – focus subjects) - **7:00 – 7:30** → **Math** - Revise 1 chapter + solve 8–10 mixed questions - **7:40 – 8:20** → **Science** - Read NCERT of 1 topic",Conceptual,,,,,Academic,,,,2129,65,0.000956,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
d6b605aa-0ac4-47ea-9bbf-98ecdea87a61,2026-08-16T03:54:38.581Z,1,5,"U1: Me english ke gution kesecyad karu
U2: 11ag ka time table set kar ke do
U3: Hi
U4: Science
U5: Ag","**ठीक है — मान लेता हूँ तुम “PCM” (Maths वाला) कह रहे हो।** (अगर PCB है तो बस बता देना, मैं Maths की जगह Bio कर दूँगा।) **PCM (11th) daily timetable (school day):** - **5:45–6:15** उठना + फ्रेश - **6:15–7:15** *Revision* (कल के notes + formulas + 10 MCQ) - **7:15–8:00** नाश्ता + ready - **8:00–2:30/",Conceptual,,,,,Academic,,,,1790,65,0.000820,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
909c6941-0a7d-467b-876c-179949c938a1,2026-08-16T09:01:46.032Z,1,7,"U1: Why is molecular movement needed for life
U2: Explain in simple words
U3: How do we tell difference between what is alive and what is not alive
U4: Humanise it and in simple words
U5: Summerise the chapter life processes
U6: Explain all the important points and questions that can be formed by the given points
U7: Cbse","**CBSE (Class 10) – Life Processes: important points + common question patterns (unit-wise)** ## 1) Nutrition **Important points** - **Nutrition** = taking in food + using it for energy, growth, repair. - **Autotrophic** (plants) vs **Heterotrophic** (animals, fungi). - **Photosynthesis** (in chloro",Conceptual,,,,,Academic,,,,1789,63,0.000816,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Summary / Notes,gate_llm,gate_llm
