chatbot_sid,time,user_id,turns,user_messages,bot_last_message,category,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning,skipped_by_gate,gate_action,Gate 1 Category tag,learning_ask_type,gate_reasons,gate_source
11bdeb4d-aa74-4094-8a7c-a17dda0922fe,2026-08-17T13:49:45.336Z,1,14,"U1: Can you give some more questions like this and practice paper for 5 th grade Cambridge curriculum and cbse new curriculum standards A Grade 5 worksheet asks students to match formal words and phrases, such as 'grandmother' and 'mother,' with their colloquial forms, such as 'gran' and 'mum.' The user
U2: Give answers for section C also
U3: Give atleast 30 colloquial nouns for grade 5 students which help them to master in their exams
U4: Give some prompts for paragraph writing for grade 5 kids
U5: Please generate a question paper for grade 5 student on Nikki tikki lesson
U6: Yes the lesson you gave is correct and make some grammer questions based on this lesson
U7: Colloquial language , pronouns,punctuation,articles,alliterations,based on the context,
U8: Give the answer key too
U9: Create more questions like this and i should excel in exam and create at least 20 questions in each category A photographed English grammar worksheet containing fill-in-the-blank and sentence-editing questions, with handwritten student answers and markings. The request asks for at least 20 similar p
U10: Create more questions like this and i should excel in exam and create at least 20 questions in each category A photographed English grammar worksheet containing sentence-completion and grammar exercises, with handwritten student answers and corrections. The student asks for at least 20 additional qu
U11: Create more questions like this and i should excel in exam and create at least 20 questions in each category The image is a narrow, blank beige area with no visible question, text, diagram, or other student content.
U12: Give 20 questions on relative pronoun for grade 5 cbse and Cambridge curriculum student
U13: Yes please make harder mixed sentences
U14: Show me my upcoming assignments on CK-12",Type: ASSIGNMENT No pending assignments (due).,Quiz_request,,,,,Academic,,,,2032,63,0.000491,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Practice / Quiz,gate_llm,gate_llm
19e601ba-8517-49a9-9b22-d96747e5c01c,2026-08-17T16:47:03.100Z,1,24,"U1: Hello I'm clg going student and i learn English with you so can give me a test for my improve english
U2: 1 c
U3: 2 a
U4: A
U5: B
U6: 5 a
U7: I have lived in ahemdabad for 5 years
U8: This book is better than that one
U9: 7. He didn't like coffee
U10: I am go to the market yes
U11: 8 i am go to the market yesterday
U12: 9. She can singing very well
U13: My friend has a new phone
U14: 11. I am studying English every evening
U15: 12. They are playing cricket now
U16: 13 I am a clg going student and i am lived in hostel so first my day started I am wake at 8 am I go to the brush my teeth and then I take a shower and I take a breakfast and then I watch a movie, reels etc and at 12 pm I eat lunch and I am go to the lab
U17: Okey thank you so much and you give me test results please 😁
U18: Yes I want
U19: 1. I go to the college every day at 9 am
U20: She cook dinner right now
U21: Usually They are played cricket on Sundays
U22: Now we are study for the test at the moment
U23: He is watching TV every night
U24: Okey so my second test is completed and give me my todays result",Type: ASSIGNMENT No pending assignments (completed). Time: 2026-08-17 09:00:00 / today,Quiz_request,,,,,Academic,,,,1999,63,0.000478,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Practice / Quiz,gate_llm,gate_llm
0e236db4-a468-4bb6-89d3-a1de31f0d845,2026-08-17T17:58:35.864Z,31240957,5,"U1: Can you create me a best time table for preparation for my Half portion exam
U2: Okay tomorrow is my test at 6 o'clock 6:00 a.m. that is okay then I post on is science Physics light refill reflection biology life processes till respiration
U3: Now 11:30 I want to sleep at which time should I wake up
U4: tell me the time
U5: tell me the time forget best time schedule ask for the topic","Okay, let’s keep it simple and doable. Right now: **around 11:30 p.m.** Test: **6:00 a.m.** ### 1. Sleep and wake-up time - Try to sleep by: **12:00 a.m. (midnight)** - Wake up at: **4:30 a.m.** That gives you about **4½ hours** of sleep and **1½ hours** to revise. --- ### 2. Morning plan (4:30–6:00",Conceptual,,,,,Academic,,,,1835,65,0.000838,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
618a5215-cf06-44e5-9c9b-e9c0a140bf86,2026-08-17T17:48:16.793Z,1,6,"U1: Hi, My name is Shehrish
U2: I will come back at 11:40
U3: Actually I will go five that's why I want to learn
U4: I want class 4 or 5 syllabus
U5: Ok thanks
U6: Ok I will come back at 11:40",Type: REMINDER Time: 11:40 Time: 2026-08-17 11:40:00 / 11:40,Small Talk,,,,,Non-Academic,,,,1729,62,0.000368,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
0c15567c-0bae-4db5-8943-994bc2d8a6e4,2026-08-17T11:11:03.761Z,31218607,11,"U1: No
U2: Can u pls teach me a ch of sst
U3: Geography
U4: What is alternate current
U5: AC versus DC
U6: Challangecme
U7: Dc ac dc ac
U8: No
U9: Can you help me set a reminder
U10: Can you help me set a reminder
U11: Can you help me set a reminder",Type: REMINDER Time: 2026-08-17 10:36:01 Time: 2026-08-17 10:36:01,NA,,,,,Non-Academic,,,,1753,62,0.000800,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
c8b338f8-d1b3-455b-b5df-577a81fa8c20,2026-08-17T17:04:21.641Z,30949034,13,"U1: Can you create a study plan for me
U2: Neet-ug
U3: 257 days left
U4: 02-5-2027 next neet -ug date
U5: Can you track it daily and give me what topic to learn daily if i upload the syllabus
U6: Physics Syllabus Overview - Class 11 Units: Physics and Measurement, Kinematics, Laws of Motion, Work, Energy and Power, Rotational Motion, Gravitation, Properties of Solids and Liquids, Thermodynamics, Kinetic Theory of Gases, Oscillations and Waves. Orfavel Bocks - Class 12 Units: Electrostatics, 
U7: Neet-ug + bse nutrition 1 year
U8: About 8-9 hours weekdays and weekends double neet 2027 bio strong and physics and chemistry weak
U9: Do I have to complete 1 chapter or3 chapter daily
U10: Basic maths topic to study Tommorow and thermodynamics
U11: Neet
U12: I forget to tell you l have completed living world and half of cell the unit of life chapter
U13: 8 hour and first time","Great, with **8 hours** and **first-time reading**, you can cover a lot calmly and still remember it. Below is a **simple 1-day plan** for **Biology (Cell + quick Thermodynamics touch)** for NEET: --- ## 1. Finish *Cell: The Unit of Life* (about 5 hours total) ### Block 1 – 2 hours **Goal: Complete ",Conceptual,,,,,Academic,,,,1964,65,0.000890,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
7816c305-a2f4-423b-a4bc-8cbee1382383,2026-08-17T16:31:45.438Z,1,4,"U1: in Tamil please translate Tamil
U2: in Tamil please translate Tamil science test standard
U3: in Tamil please translate Tamil science test standard science test 7th standard English medium
U4: Set time table",Type: REMINDER Task: Set time table Time: 2026-08-17 10:15:10 Time: 2026-08-17 10:15:10,Small Talk,,,,,Academic,,,,1713,65,0.000789,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Study Plan / Syllabus,gate_llm,gate_llm
bddf6a0b-0d58-4979-a2be-dab6d8d407e6,2026-08-17T07:44:59.207Z,1,21,"U1: Nai utha nai
U2: English Ans nai utha nai
U3: No athane
U4: Ko athane
U5: Hmm
U6: English Ans:-Hmm
U7: Umm
U8: Mm
U9: Moi noru atiya kotha patiba
U10: Maa ahu ase
U11: 11.00pm phone Kari
U12: 11.00pm phone kori
U13: Assamese English Ans:- 11.00pm phone Kari
U14: Ane kio thakpa nori niki
U15: Para
U16: Assamese English Ans:-para
U17: Diya su
U18: Assamese English Ans:-diya su
U19: English Ans:-diya su
U20: Diya su
U21: Vat khalu",Assamese में **“ভাত খালু” (vat khalu)** का मतलब होता है: - **“क्या तुमने खाना खा लिया?”** या ज़्यादा सीधा अर्थ: - **“क्या तुमने चावल खाया?”** आम तौर पर इसे रोज़मर्रा में ऐसे पूछा जाता है कि सामने वाले ने खाना खा लिया या नहीं।,Small Talk,,,,,Non-Academic,,,,1884,62,0.000853,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
b23150bd-245f-4817-8837-541f7e893562,2026-08-17T16:57:13.867Z,1,3,"U1: Play flexi can you schedule a timedable for me
U2: reflexi what you mean by impure substances
U3: reflexi what you mean by impure substances can you schedule a time table for me","**Impure substances** are materials that contain **more than one substance mixed together**, so they’re **not 100% one single kind of particle**. Because of that, they usually **don’t have a fixed composition** and often **melt/boil over a range** (not one sharp temperature). **Examples:** air (many",Reminder,,,,,Academic,,,,1745,62,0.000375,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
629a923e-ccc5-426c-8197-4ddae46a5fb0,2026-08-17T06:25:06.229Z,1,17,"U1: ही फ्लेक्सी
U2: फ्लेक्सी मेरा टाइम टेबल सेट करो पूरे दिन का मैं 12:00 बजे स्कूल जाती हूं 5:00 बजे
U3: मैं 12:00 बजे स्कूल जाती हूं 4:30 बजे स्कूल जाती हूं 5:00 बजे कोचिंग जाती हूं 7:00 बजे कोचिंग जाती हूं मेरा टाइम टेबल सेट करो पूरे
U4: प्लस चाहिए मुझे प्लस दो
U5: नहीं मुझे प्लस चाहिए प्लस
U6: 64
U7: Hii
U8: माय नेम इस सुहानी
U9: कुछ भी नहीं
U10: mere ko
U11: love khakar Bulaoge to
U12: मेरे को 10 तक मेरे को कुछ भी नहीं आता मैं
U13: 79
U14: 10 ke baad 10
U15: गलती से मिस
U16: सात के बाद आता है 8 आता है नौ के बाद 10 आता है
U17: Hi","Hi 🙂 मैं Flexi हूँ, CK-12 का AI helper. मैं तुम्हारी कैसे मदद कर सकता हूँ आज?",Small Talk,,,,,Non-Academic,,,,1872,62,0.000426,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
