"chatbot_sid","time","user_id","message_count","axis1","axis2","axis3","overall_score","category_tags","issue_tags","tags","reasoning"
"7a3af75d-094b-428a-a762-297b778b52b2","6/6/2026, 8:50:28 PM","1","4","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"2bc1989e-b820-420a-88d0-71644119e41d","6/6/2026, 7:32:55 PM","1","39","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f0d5b046-fcbe-40fc-a7df-dcceaeffe92d","6/6/2026, 6:07:34 PM","1","3","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b0c3d8f0-16c4-4ade-a14f-218c5695b074","6/6/2026, 1:27:44 PM","1","14","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"ced7c4a8-4903-423f-b0c5-61c1e9909d85","6/6/2026, 10:06:59 AM","29322651","4","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5d39dcd1-d4b1-4b79-8cf0-e93b525965f4","6/6/2026, 12:00:43 AM","30499732","5","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5121735d-45f3-4231-9988-e8532a34f6ab","6/6/2026, 6:46:46 PM","2","9","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"3059330e-5df2-416a-ae19-3afc84bdb894","6/6/2026, 8:31:16 PM","2","9","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"7adf7790-421b-4ec1-b346-f6bb604d9b17","6/6/2026, 2:39:47 PM","2","9","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5066f5c3-a6f4-45b5-9b03-8037170d2fac","6/6/2026, 11:46:10 PM","30509683","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"68a6ed44-1510-4f8f-b7cf-2c7822b819c7","6/6/2026, 11:47:11 PM","30507492","3","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
