"chatbot_sid","time","user_id","message_count","axis1","axis2","axis3","overall_score","category_tags","issue_tags","tags","reasoning"
"97fa1b16-2221-4739-939a-c2a06f7b5a0c","6/8/2026, 5:53:16 PM","30523718","11","1","1","1","1","Image Upload | Speech to Text | Slotfill","Error","Slotfill | Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"73b96981-7653-4a16-9607-86f6b4c4dc53","6/8/2026, 3:15:59 PM","30522108","3","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b45ac8b5-d00e-4831-a735-aaea8a27173d","6/8/2026, 2:39:43 PM","1","9","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"edb4f7c9-cbcc-450d-bff0-d6f8bd002a2d","6/8/2026, 1:02:02 PM","1","9","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b8f02ecf-6984-4c24-b0da-8ffd068c0b8b","6/8/2026, 12:39:07 PM","1","3","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5af477aa-e46c-4c44-aa3a-b8de0ef8be99","6/8/2026, 11:51:07 AM","1","14","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"80c13d13-12b0-4e70-ba43-bc28107ab0ad","6/8/2026, 6:14:07 AM","1","15","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"2980c69e-fa87-47fe-b53e-6e34e026477c","6/8/2026, 9:41:29 PM","2","11","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"5757003b-0fa3-4fc4-a194-c60b614f9800","6/8/2026, 3:54:42 PM","30530702","14","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"91c0983a-2404-438f-bcce-57c1db6ca221","6/8/2026, 4:02:05 PM","30142125","11","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d5b1b4f5-5d02-485e-b2e3-cfa203ed84dd","6/8/2026, 10:51:58 PM","1","15","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d755e66f-7e2f-4209-8494-95a33c8f47c3","6/8/2026, 10:19:09 PM","1","6","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"4b2e1762-cc08-4dd3-9763-4b8c40455895","6/8/2026, 10:04:02 PM","1","5","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
