chatbot_sid,time,user_id,message_count,axis1,axis2,axis3,overall_score,category_tags,discovery_tags,issue_tags,tags,reasoning
"490137be-24ed-4b3c-9a41-f2cce66c06e9","7/5/2026, 1:32:57 PM","1",13,1,1,1,1,"Speech to Text | Slotfill","","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"aca62ec1-4bbd-4030-87af-64b0e0e4572f","","1",68,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"23ab3215-7221-4cbd-86cb-ce07c9b08aaf","","30695775",11,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"2717ef74-4693-4cb1-8860-d205a79e07d6","","1",6,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"b6ae9bf3-0764-407a-832a-fed57a1e9c1d","","1",11,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"1a2bb634-8c7a-4e85-b5a4-0436a79634f5","","1",11,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"88fe689e-dac2-42b0-87ce-c15c1d3f7091","","1",26,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"d21408c5-8dba-4f65-9e9a-9ed6f6a355cf","","1",7,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"26f719d9-00c6-4391-839d-b475c1e2ec36","","1",9,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"f6845625-635b-4d4d-9187-4f4f43b65339","","1",6,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"c62ebe30-971d-4d08-9880-2870119b850c","","1",6,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"a6cfce8f-be9d-4cf6-939c-cb87e3b90639","","1",11,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"680ebec2-cae4-47b0-93df-3e6235954446","","1",4,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"9968657f-bee0-4355-ba14-8058c2337b25","","1",4,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"024e09d5-9026-4f15-885e-6044c1f92b08","","1",6,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"138cdbdc-e0dd-4c99-92ef-de33a20a9527","","1",4,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"09658729-ff0e-4751-a4b7-3be77bfe4b3e","","1",6,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"24b3d69a-0483-4078-a138-1febb283e2fa","","1",7,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"ea414308-6342-4e7f-98f9-6b04d4a83b5d","","1",20,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"c5d7776d-358e-4221-aea2-26aef817ebf7","","30783460",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"e03599ee-918f-45b8-b639-15d3d8b9dedc","","1",4,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"bdd55328-673d-4324-bdfc-2973623f6c8c","","1",11,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"5519f7cf-e6d0-4fae-96fc-68e5f6c1d2ff","","1",4,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"ca24a44e-47de-458e-bc0b-a996cfe71e93","","1",7,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"0f68d995-7023-4f49-9834-ca040a32dcad","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"cdd21cac-0db9-4a93-8501-0db0ad90f6b3","","1",9,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"243bab0e-195b-4281-ba01-fccb942d3272","","1",14,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"364fd7a3-78b9-471b-9036-8522460a2429","","30480309",4,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f13b0e16-6149-4f2b-80e4-df9ae0422678","","1",13,1,1,1,1,"Image Upload | Speech to Text","","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"13647ef8-3444-47b3-979e-9c92023be371","","1",6,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d163ac0c-ee35-4cc7-aaa8-5aa06a924a26","","1",11,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"52ebbb87-0432-4473-810e-97ec8ba0d394","","1",9,1,1,1,1,"Image Upload | Speech to Text","","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"029c033d-09cb-4b2b-bbcd-54604f070a1e","","1",26,1,1,1,1,"Image Upload | Speech to Text","","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
