"chatbot_sid","time","user_id","message_count","axis1","axis2","axis3","overall_score","category_tags","issue_tags","tags","reasoning"
"9afbf94e-1e68-453f-9f4b-58ac9b03c1cb","6/3/2026, 2:46:35 PM","1","3","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"c5234957-a480-42fe-b37c-57ef88c155eb","6/3/2026, 12:15:20 PM","1","6","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b6b39158-6d82-4e5c-a408-cbfb0e9b759b","6/3/2026, 7:26:41 AM","1","6","1","1","1","1","Image Upload | Slotfill","Error","Slotfill | Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"8235b0c0-83e2-43a3-9ed6-6a16bcd60dac","6/3/2026, 11:16:19 PM","1","3","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"8ffeea7a-da3e-4374-9bbf-ae6bfe8d2e92","6/3/2026, 10:21:07 PM","1","6","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"7bdd7b16-e173-4632-abc7-d2cff17719e2","6/3/2026, 10:26:34 PM","1","4","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b5771e45-a451-42f6-aa15-1d0d419faf22","6/3/2026, 9:43:42 PM","1","4","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"23e1d78d-a93d-44ff-a548-5cdd999b18da","6/3/2026, 6:11:00 PM","1","4","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"afaab3fb-d450-422a-bfd2-f87eb90db2bc","6/3/2026, 9:08:01 PM","1","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"c0a0ea58-926f-4023-a18d-3be005e4b6f0","6/3/2026, 9:09:50 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f5839dde-0dc4-4b0e-b8a1-ec052e083f0b","6/3/2026, 8:33:45 PM","1","15","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f087adf2-3056-418f-9f93-da9395559010","6/3/2026, 7:45:27 PM","30442911","9","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"19dc0e19-1326-4fae-9bdd-22981cec34f3","6/3/2026, 8:50:06 PM","1","10","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d643f918-9a8a-457a-9614-eb43632dbddd","6/3/2026, 8:53:24 PM","1","14","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"79cd83e9-7b9c-4f15-8dfa-0dc5f78ab9b7","6/3/2026, 1:32:18 AM","1","22","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"02436b42-5fdc-4ea5-8ffa-ddf5d8bbaeab","6/3/2026, 8:52:45 PM","30458536","3","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"58284ecd-f681-4d98-8b7a-2ca18c014521","6/3/2026, 8:49:14 PM","1","3","1","1","1","1","Image Upload | Speech to Text","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"44f9c972-de30-4b31-a3bb-fc06fab7e233","6/3/2026, 2:40:56 PM","30476519","12","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"c3b43ad6-cb5c-4a00-be4c-1df33b6d2599","6/3/2026, 7:32:18 PM","1","4","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"ff6b412b-39a2-4399-b97c-87106b912674","6/3/2026, 8:26:25 PM","1","6","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b4c2287e-c84f-4bab-a8c4-b414278c81e9","6/3/2026, 8:08:59 PM","1","3","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"8134e9e5-5d6e-4d7f-9551-b41b541a2340","6/3/2026, 7:38:04 PM","1","12","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"3bb82f92-4709-42c0-b1c7-6729372b057b","6/3/2026, 7:35:39 PM","1","16","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"fdb1ae16-8451-4937-84ca-edf501f29d27","6/3/2026, 7:49:33 PM","1","8","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"a2ee774f-6141-46e1-a289-ed34f026d89e","6/3/2026, 7:41:49 PM","1","10","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"c44ad9f3-e200-448b-9ed7-0f352b001767","6/3/2026, 7:30:25 PM","30479049","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"1a1920ba-09b5-413d-b1c3-74fdd5c6a5e9","6/3/2026, 6:47:25 PM","1","15","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"44683b36-2063-4285-880c-24fea04f9511","6/3/2026, 6:43:13 PM","1","3","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"68126b48-4158-4bfc-a7fd-087c410a3537","6/3/2026, 6:51:25 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"4501589c-5888-4b22-8c96-8ef8d0ba9714","6/3/2026, 7:38:01 AM","2","3","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"94400ddb-2877-4241-8432-52ecc9ee4db7","6/3/2026, 6:39:03 PM","1","4","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"6cf069e1-132b-4cba-ab11-b2ddfd1ad9a2","6/3/2026, 6:39:33 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"8453a878-f00d-452a-9b67-348675647454","6/3/2026, 6:36:20 PM","30381993","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"73450765-2530-4fd0-b4ed-787f9fdef767","6/3/2026, 10:06:58 AM","1","17","1","1","1","1","Slotfill","Error","Slotfill | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b3f605ee-ff96-4324-b4a1-cc1dc7a659ac","6/3/2026, 6:20:04 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"da3666d1-657c-49d5-8bed-e9296cf23d1c","6/3/2026, 6:11:09 PM","1","6","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"ba83ff4e-dbe8-4455-b0a5-71613238ef64","6/3/2026, 6:11:14 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"91a98f5e-a472-4746-9da8-4edef8408a78","6/3/2026, 5:34:03 PM","1","10","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"cb1b9336-8275-4150-91b0-80f26651fd76","6/3/2026, 5:57:53 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"00d19f52-0e20-44d5-85ce-d460104f26fc","6/3/2026, 5:55:04 PM","1","3","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"360ebc90-4132-4877-9ca0-16bc5a47d656","6/3/2026, 5:44:39 PM","1","4","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"e72c1de4-d1a0-4627-a816-03026b02f576","6/3/2026, 5:30:24 PM","1","11","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"c3eca2b6-b969-417d-87eb-d971899c4e7f","6/3/2026, 4:01:33 PM","1","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"516e4936-7614-46e7-b9fd-4ac804f2005a","6/3/2026, 5:04:22 PM","1","6","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f2be7069-5996-45b1-be8b-507d0d27bf88","6/3/2026, 5:14:39 PM","1","10","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"a08806b2-dce2-4f06-94be-fd2f1f5d1fc6","6/3/2026, 5:12:04 PM","1","9","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"36dabfc8-023d-4f97-87c2-cd5e045de553","6/3/2026, 5:06:47 PM","30059060","10","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d8a79cd9-6ca5-45d9-b659-b625dfb8d73d","6/3/2026, 5:04:38 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"dc64ddf5-7056-4297-8245-84573ce5cf1b","6/3/2026, 4:47:31 PM","1","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"bead87b1-85de-4be3-a9d1-47ec42ab33d8","6/3/2026, 2:29:58 AM","29907578","4","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"7b1a0c93-711d-4bd0-b26a-3b4a893e143c","6/3/2026, 4:30:22 PM","1","5","1","1","1","1","Image Upload | Speech to Text","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"b4df796a-f298-48f0-96a3-766592d39d3d","6/3/2026, 2:51:50 PM","30121265","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"e53a08e2-6609-4aa2-b533-a6f16c113b4f","6/3/2026, 8:27:40 AM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d02085dd-c94d-4905-8d4c-505de89db5a9","6/3/2026, 1:09:44 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"318f53fc-4a82-4fe2-bee2-d3471ff2a70e","6/3/2026, 1:06:02 PM","30293359","60","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"71336caa-600c-4100-a25c-058e93436f71","6/3/2026, 4:25:16 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"2e7ecaa1-2209-4b8c-8363-e1e2a17edad6","6/3/2026, 10:28:51 AM","30408086","4","1","1","1","1","Image Upload | Slotfill","Error","Slotfill | Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"873f70b8-cb72-4d5c-9e0c-d5bfb4c41487","6/3/2026, 4:12:22 PM","1","3","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d2317b10-56be-47c7-8000-b5c6f10cf5a2","6/3/2026, 4:06:19 PM","1","6","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
