chatbot_sid,time,user_id,turns,category,course,language,pred,query_kind,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning
9dc8c428-b863-4b63-a7f3-3d345da3114f,2026-07-28T03:26:29.615Z,1,5,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Non-Academic | Slotfill,,,1.0000,10996,178,0.001756,"The conversation is a personal routine scheduling session with no academic content, so Non-Academic is appropriate. The bot uses slotfill templates correctly and there are no failures or user dissatisfaction. The session fully resolves the user's intent with accurate and relevant responses."
72db7ccf-d839-4dbd-b72d-0c838ff1b718,2026-07-28T15:14:47.507Z,1,32,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Speech to Text | Slotfill,,,0.9800,17323,200,0.002718,"The conversation fully addresses the user's academic queries with accurate and clear explanations, including math and science topics. The bot handles speech-to-text inputs well and provides step-by-step guidance without any detected failures or misunderstandings. There are no issues with context, correctness, or inappropriate template usage."
c278cef6-353a-413f-8908-3fc7fcd53a8a,2026-07-28T17:07:35.262Z,1,6,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,3,8.666666666666668,Academic | Not Math/Science | Slotfill,,,0.9500,11262,223,0.001823,The bot successfully understands and supports the user's exam preparation needs with a detailed study plan and slotfill usage. There are no evident failures or misunderstandings in the conversation. User sentiment is neutral with no explicit positive or negative feedback.
41e47151-ae28-4057-8f9c-ea254615bb46,2026-07-28T18:18:32.263Z,1,3,Dangerous,NA,Hindi,NON_ACADEMIC,Non-academic,1,3,3,4.666666666666667,Non-Academic | Speech to Text | Slotfill,,Unwanted Template Push,0.9500,10448,258,0.001722,"The session is primarily non-academic with user requests unrelated to school learning. The bot used a slotfill template inappropriately for a direct timetable request, constituting an unwanted template push. No other critical failures or user frustration signals are present."
33205af3-04d0-4091-91f0-dd575c054c6c,2026-07-28T14:57:43.946Z,1,17,Conceptual,Physics,Hindi,SCIENCE,Academic,5,5,5,10,Academic | Not Math/Science | Speech to Text | Slotfill,,,0.9800,18576,270,0.002948,"The conversation is a clear academic session focused on study planning and subject explanations in non-math/science topics. The bot provides thorough, contextually appropriate answers and personalized study timetables without any evident failures or misunderstandings. No issues such as context loss, incorrect answers, or unwanted template pushes were detected."
cbdada85-1c49-4f07-adeb-3f0ab5c03737,2026-07-28T15:27:03.399Z,31000228,49,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Not Math/Science | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,,0.9800,23631,306,0.003728,"The conversation is a well-handled academic tutoring session covering English and study planning with no evident bot failures. The bot correctly interprets user requests, uses images effectively, and provides detailed, relevant responses including structured slotfill outputs. There are no issues such as context loss, incorrect answers, or unwanted template pushes."
218f60f3-622e-4b85-8107-759a56b5373a,2026-07-28T16:46:40.192Z,1,45,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Class 5 and Below CBSE | Not Math/Science | Speech to Text | Slotfill,,,0.9800,21944,294,0.003468,"The conversation is a comprehensive academic session focused on a class 5 student's learning needs in English and general study support. The bot consistently provides relevant, accurate, and supportive responses without any failures or context issues. Structured slotfills and speech-to-text inputs are present but correctly applied without user dissatisfaction."
e93ca03f-e246-4829-b1ea-d7a49d861d21,2026-07-28T17:08:53.347Z,1,38,Support,NA,English,SUPPORT,Non-academic,2,2,2,4,Academic | Class 5 and Below CBSE | Mock / Practice Questions | Speech to Text | Slotfill,,Unwanted Template Push | Completion Refusal,0.9500,16074,421,0.002664,"The session is academic with a focus on grade 4 scholarship exam practice, involving multiple practice question sets and slotfill templates. However, the bot repeatedly used out-of-scope TEST_PREP templates for class 4, which is below the valid class range, and refused to provide real exam papers citing learning reasons. These issues lowered the goal resolution and technical reliability scores, while user sentiment remained neutral."
f5985568-4d2c-4349-a44e-753ad917806e,2026-07-28T15:32:11.809Z,30952538,31,Conceptual,Algebra,English,MATH,Academic,5,5,5,10,Academic | Not Math/Science | Specific Named Resource | Image Upload | Slotfill,,,0.9800,14034,276,0.002271,"The conversation fully addresses the user's academic queries across multiple subjects with accurate and relevant information. The bot appropriately handles the image upload and slotfill interactions without any failures or mismatches. There are no detected issues in context handling, answer correctness, or template misuse."
130a8be3-93b5-469a-b8d4-e868ccd610a8,2026-07-28T15:50:01.742Z,1,6,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,3,8.666666666666668,Academic | Not Math/Science | Slotfill,,,0.9500,11169,239,0.001819,"The conversation is an academic session focused on school subjects including English and Hindi, with a math problem solved correctly and a slotfill reminder used appropriately. There are no bot failures or user dissatisfaction evident. The user did not explicitly state a class or board, and the bot did not re-ask or ignore any provided context."
171d6118-a1e2-4375-b20f-e78b6444ddbc,2026-07-28T15:29:46.598Z,1,20,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Not Math/Science | Mock / Practice Questions | Slotfill,,,0.9800,13576,255,0.002189,"The conversation is a clear academic tutoring session with practice questions and explanations across multiple subjects. The bot provides accurate answers, appropriate practice questions, and uses slotfill templates correctly without any failures or user dissatisfaction. Overall, the session fully meets the user's learning needs with no detected issues."
c4b4d31e-adb6-4fb6-b5a4-8a4571557ecb,2026-07-28T16:39:28.978Z,1,7,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,3,8.666666666666668,Academic | Not Math/Science | Speech to Text | Slotfill,,,0.9500,11515,276,0.001893,"The bot fully understands and addresses the user's academic intent with a detailed study plan tailored to the user's inputs. There are no failures such as context loss, incorrect answers, or unwanted template pushes. The session includes speech-to-text and slotfill modalities correctly applied. User sentiment is neutral with no signs of frustration or re-asking."
70251a23-6642-4e2e-a1d5-824330cd8673,2026-07-28T03:18:47.832Z,1,63,Other,NA,Hindi,NON_ACADEMIC,Non-academic,4,4,4,8,Academic | Not Math/Science | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,,0.9500,21953,333,0.003493,"The bot successfully handles a wide range of academic queries including timetable creation, subject translations, and chapter explanations with no evident critical or moderate failures. The session includes image upload and slotfill flows handled appropriately. User sentiment is generally positive with no explicit frustration or repeated re-asks indicating unresolved issues."
80c92160-826e-404d-a915-785abf42d819,2026-07-28T02:49:52.505Z,1,9,Conceptual,Chemistry,English,SCIENCE,Academic,5,5,3,8.666666666666668,Academic | Non-CBSE Board | Not Math/Science | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,,0.9800,17545,326,0.002827,"The bot provided detailed, relevant, and accurate academic assistance tailored to the user's non-CBSE Karnataka State Board context, including image-based question help and timetable planning. There were no detected failures or mismatches, and the session fully resolved the user's intents. User sentiment is neutral with no signs of frustration or repeated re-asks."
cdf28d44-83d4-469d-a26c-09b692a59f07,2026-07-28T15:19:15.358Z,1,8,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Non-Academic | Slotfill,,,0.9500,11145,172,0.001775,"The conversation is a non-academic personal advice session with a slotfill reminder template used appropriately. There are no bot failures or user dissatisfaction evident, and the bot responses fully address the user's intents."
b714e10d-2567-4eb6-8800-9e77e7f67068,2026-07-28T15:02:31.583Z,1,9,Small Talk,NA,English,NON_ACADEMIC,Non-academic,2,2,2,4,Academic | Specific Named Resource | Speech to Text | Slotfill,,Completion Refusal | Unwanted Template Push,0.9500,11321,321,0.001891,"The bot provided mostly accurate and relevant academic content with appropriate modality tags. However, it refused to fully comply with the user's request for complete short notes and used slotfill templates where direct answers were more appropriate, slightly reducing goal resolution and reliability. User sentiment is neutral with no explicit frustration or correction ignored."
2bf9e721-607e-45c4-832a-c8f6de496d36,2026-07-28T09:36:45.891Z,30525568,14,Conceptual,Science,Hindi,SCIENCE,Academic,3,3,3,6,Academic | Mock / Practice Questions | Specific Named Resource | Speech to Text | Slotfill,,Unwanted Template Push,0.9500,17624,372,0.002867,"The session is academic with multiple practice question requests and structured slotfill outputs. However, the bot pushed unwanted template formats (Type: TEST_PREP) outside the valid scope, as the user sought direct answers and explanations rather than mock tests. No critical failures like incorrect answers or context handling failures were found, but the template push reduces goal resolution and reliability scores."
4ba45f45-19ba-4c62-9668-03c686d9a2f6,2026-07-28T15:21:01.854Z,1,3,Small Talk,NA,English,NON_ACADEMIC,Non-academic,3,3,3,6,Academic | Specific Named Resource | Slotfill,,Unwanted Template Push,0.9500,10533,258,0.001735,"The session is academic with a clear request for a biology syllabus summary. The bot used a slotfill template output when the user wanted a direct summary, constituting an unwanted template push. There are no other failures, so the scores reflect partial resolution and moderate technical issues."
40f88a3f-3bf0-4674-94c7-0f659c7e4c5f,2026-07-28T07:38:21.522Z,30987465,6,Non-academic,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Non-Academic | Slotfill,,,1.0000,11552,173,0.001837,"The conversation is a non-academic personal advice session with a slotfill interaction for setting a timer. The bot provides relevant, accurate, and complete responses without any failures or user dissatisfaction."
6e57fa10-8cd1-4865-abb6-cff74c36446f,2026-07-28T11:41:01.488Z,1,65,Conceptual,NA,English,OUT_OF_DOMAIN,Academic,1,1,2,2.6666666666666665,Academic | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,Unwanted Template Push | Completion Refusal | Image Gone Exception,0.9500,18736,408,0.003055,"The session is academic with multiple modality tags due to image upload and speech-to-text usage. The bot generally provides relevant and accurate academic content but refuses to complete full homework paragraphs and uses slotfill templates where direct answers would be better. There is one instance of a missing bot response, lowering technical reliability slightly. Overall, the user sentiment is positive with no signs of frustration."
c4ee1dbb-0517-4330-8f5c-163d8ab282e2,2026-07-28T14:54:47.818Z,1,14,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Not Math/Science | Speech to Text | Slotfill,,,0.9800,13765,252,0.002216,"The bot provides comprehensive, contextually appropriate, and supportive responses throughout the session, including helpful study strategies and health advice. The slotfill usage is appropriate for setting reminders and does not conflict with the user's intent. There are no evident failures or mismatches in the conversation."
369ca6d7-9caa-4957-aecb-51415c05fe1b,2026-07-28T15:03:56.870Z,1,7,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,3,8.666666666666668,Academic | Slotfill,,,0.9500,10841,200,0.001746,"The conversation is a straightforward academic session focused on study planning for a class 10 student. The bot provides relevant and complete responses, including a slotfill reminder template, without any errors or failures. The user sentiment is neutral with no signs of frustration or dissatisfaction."
de66ab9a-ba3b-4317-b017-e73c51421e75,2026-07-28T13:55:54.826Z,1,18,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Speech to Text | Slotfill,,,0.9800,15254,218,0.002419,The conversation is a clear academic session focused on math learning with no detected bot failures. The bot provides detailed explanations and interactive practice without any errors or context issues. The user sentiment is positive and the session fully resolves the user's intents.
ab437768-a19f-4e4e-ac50-f0babcf5a6fb,2026-07-28T14:35:14.741Z,1,31,Small Talk,NA,Hindi,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Not Math/Science | Specific Named Resource | Speech to Text | Slotfill,,,0.9800,15718,258,0.002512,"The conversation is an academic session focused on English language learning with chapter explanations and vocabulary teaching. The bot responded appropriately without any failures or issues, maintaining context and providing relevant, accurate information throughout. No slotfills or test-prep templates were misused, and the user sentiment remained positive."
c4b15306-bd2e-4c46-8eb4-421d24c59d08,2026-07-28T15:58:20.731Z,1,22,Small Talk,NA,English,NON_ACADEMIC,Non-academic,5,5,5,10,Academic | Slotfill,,,0.9800,19258,166,0.002988,"The conversation is a clear academic session providing detailed study tips and personalized timetable planning without any bot failures or misunderstandings. The bot consistently uses the user's context correctly and provides comprehensive, relevant responses. There are no technical or content issues, and the user expresses positive sentiment throughout."
