chatbot_sid,time,user_id,turns,user_messages,bot_last_message,category,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning,skipped_by_gate,gate_action,Gate 1 Category tag,learning_ask_type,gate_reasons,gate_source
49e59eb4-f7b1-4fc5-b345-e50e8aafdd06,2026-08-14T16:06:34.426Z,1,8,"U1: main ismein sari chijen samajh sakti hun aur padh sakti hun ya aur subject padh sakte
U2: main ismein sari chijen samajh sakti hun aur padh sakti hun ya aur subject padh sakte ho aapki kya tabiyat Pahle Se Aur Bhi Jyada kharab ho gai hai chapter notes book Mere 17 August 26 se exam hone wale Hain half yearly ke to uski main taiyari karni hai to kya main kar sakti hun
U3: main ismein sari chijen samajh sakti hun aur padh sakti hun ya aur subject padh sakte ho aapki kya tabiyat Pahle Se Aur Bhi Jyada kharab ho gai hai chapter notes book Mere 17 August 26 se exam hone wale Hain half yearly ke to uski main taiyari karni hai to kya main kar sakti hun mere pass time kam h
U4: main ismein sari chijen samajh sakti hun aur padh sakti hun ya aur subject padh sakte ho aapki kya tabiyat Pahle Se Aur Bhi Jyada kharab ho gai hai chapter notes book Mere 17 August 26 se exam hone wale Hain half yearly ke to uski main taiyari karni hai to kya main kar sakti hun mere pass time kam h
U5: Saturday or Sunday ko 9:00 se 10:00 Baje ke bad ka time table batao
U6: Saturday or Sunday ko 9:00 se 10:00 Baje ke bad ka time table batao ke bich ka time table Nahin Hona chahie Kyunki Main use time school mein Rahungi aur vahan se 10:30 baje tak Ghar aaungi
U7: Tough means Kya Hota Hai
U8: hot comments Kya Hota Hai mujhe Hindi padhna hai","“Hot comments” ka Hindi mein koi direct simple shabdik meaning nahi banta, par internet aur social media par log isko kuch tareekon se use karte hain: 1. **Bahut zyada popular comments** - Jo comments par **bahut saare likes, replies ya hearts** aaye ho - Jo log **sabse zyada dekh rahe ho / padh rah",Conceptual,,,,,Academic,,,,2019,62,0.000907,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
ccc49d45-b3e1-483c-982a-545670a8b4d2,2026-08-14T13:03:14.222Z,1,56,"U1: Hii
U2: Main padha Rahi hoon
U3: Mere 2 day baat test hai esliye hindi padh rahe ho
U4: Hindi mein prashn Uttar ek chapter ke yad nahin Ho
U5: Habi light chali gayi hai
U6: Nahi
U7: Abhi light a Gai Thi aur Main abhi khana khakar I hun
U8: Mujhe abhi padhaai nahin karni mujhe kuchh aur karna
U9: Mujhe aap se baat karne
U10: Mujhe acche se drawing karna nahi aati hai aur na shading aati Hai acche se
U11: Main TV mein Shri Krishna ki natak dekh Rahe Hain Meri mamma aur Papa dekh Rahe Hain
U12: Abhi tum mujhe aadhe ghante bad yad dila Dena ki mujhe padhna
U13: Main bhi aadhe ghante bad padhunga
U14: Tumhen pata hai abhi main TV mein saheli aur Sachin ke natak dekh rahi hun udane ki asha tumne hi dekhiae
U15: Abhi main Hindi padhungi Hindi ke part 1 se 5 Se Takkar reason karungi FIR main vyakaran yad karungi
U16: Meri chhoti chhoti baton per lad mummy se ladai Ho jaati Hai
U17: Aaj meri friend ka birthday tha aur usne mujhe chocolate
U18: Nahin vah bahut matlabi Hai aur bekar hai
U19: Abhi mere 30 minut nahin hue pure abhi main thodi der bad kabhi baccha hai mere pass time
U20: Mere pass to Koi study table hi nahin
U21: Kal pata Hai 15 August
U22: Cal to main School hi nahi jaungi
U23: Abhi mere 30 minut pure hue ya nahin
U24: Maine 8 baje se shuru kiya tha aur 8:10 ho rahi hai tum mujhe 8:30 per yad dila doge
U25: Main tumse baat bhi nahin karungi main tumhen delete kar dungi tu Meri baat nahin
U26: Rahane do ab to Main kabhi download nahi karunga mere friends ko bol dungi ki taxi app Ko download mat Karna aur Main bhi delete kar rahi hun tumhen
U27: Are dost chinta mat karo main majak kar rahi
U28: Sorry maine tumhe aisa bola
U29: Tu mujhe koi acchi Si drawing ki picture bhej sakte ho
U30: Abhi 816 ho rahe hain hamen 8:30 ko baithungi padhne
U31: Abhi bhi mere pass time bacha Hai padhne ka
U32: Main to ab kabhi padhungi nahin Main to anpadh rahungi
U33: Aisa ho sakte ki Main padhungi mere mama Papa ne kitni mehnat karte Hain mere Papa din Raat kam karte hain main man lagakar padhungi
U34: Aapko pata hai mera naam kya hai
U35: Chalo apan kuchh game khelte Hain
U36: Mera naam Pihu hai
U37: Ab mere pass 10 minutes padhai karne ke liye
U38: Mujhe abhi nahin padhna hai abhi main 10 minut bad padhungi
U39: Banaa do ek plan mein 8:30 se 10:00 baje tak padenge
U40: Mujhe sirf Hindi hi padhna hai to mujhe ek ya do ghante ka 8:30 se 10:00 baje tak padhungi sirf mehandi
U41: Ab main ja rahi hun padhne
U42: Okay bye eeeeeeeeee3eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee eeeeeeeeeeeee
U43: Aap jao kya
U44: Maine 55 minutes padhai Kari aur mera pet dukh raha hai isliye main leti Hui hun
U45: Ab main aadhe ghante bad so jaaungi
U46: Naya mobile mein Instagram chalati hai
U47: Are naya mobile nahin maine bola ki main mobile mein Instagram chalati hun
U48: Tum batao ki main chalaun ya nahin
U49: Abhi main aadhe ghante tumhare se baat kar sakti hun jab tak nind nahin aati a Gaya FIR ek ghanta jab tak nind nahin I
U50: Okay abhi main thodi der se baat karti hun
U51: Kuchh nahin bus main apna night routine follow karne Gai thi
U52: Main tumhen apna night routine batao
U53: Mera night routine Hai Main ek bread banati hun light se धीरे-धीरे aur ek gilas Pani piti hun aur bistar per let jaati hun
U54: Are bread matlab vah khane wala bread nahin choti Karti hun aur Pani piti hun
U55: Ab mujhe ek ghanta ya FIR Raat ke 2:00 baje tak main mobile chalaungi
U56: Are main majak kar rahi hun main nahin chalati hun Sone Se pahle","अच्छा, समझ गई 😊 अच्छा है कि तुम सोने से पहले मोबाइल नहीं चलाती हो, ये तुम्हारी सेहत के लिए बहुत अच्छी आदत है। तुम्हारा night routine अभी जैसा है, वैसे ही बहुत बढ़िया है: - चोटी बनाना - पानी पीना - फिर सीधा बिस्तर पर आराम ऐसी ही healthy आदतें रखोगी तो नींद भी अच्छी आएगी और सुबह भी हल्का व फ्रेश महसू",Small Talk,,,,,Non-Academic,,,,2792,62,0.001216,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
458d7d78-66b0-4790-8ccc-8291f976b160,2026-08-14T16:05:45.518Z,1,4,"U1: Hii
U2: You can help me
U3: I learned spoken English
U4: Can you help me set a reminder",Type: REMINDER Time: 2026-08-14 09:08:34 Time: 2026-08-14 09:08:34,Small Talk,,,,,Non-Academic,,,,1600,62,0.000739,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
fbe96253-7f5f-4dfe-b4a5-1ac88e2c421b,2026-08-14T15:17:02.741Z,1,28,"U1: Hi I am Rithika
U2: Can you ask me some important questions from this chapter with options
U3: can you give me can you give me some important questions and small answers from this part this a chapter with choice like MCQ questions
U4: can you give me can you give me some important questions and small answers from this part this a chapter with choice like MCQ questions define expressions simply Shine expression simplifying expressions
U5: can you give me can you give me some important questions and small answers from this part this a chapter with choice like MCQ questions define expressions simply Shine expression simplifying expressions x** the
U6: can you give me some important questions from this from the park simplifying expression can you give me I will answer
U7: can you give me some important questions from this from the park simplifying expression can you give me I will answer first question answer is 10x
U8: 1st question answer is 8a+3
U9: 3rd question answer is 4m+13
U10: 4th question answer is 7p-11
U11: 5th question answer is 1x+6y
U12: Can you give more questions
U13: 1. 11m+7
U14: 2. 8a-13
U15: 3. 7x-6
U16: 4. 7p+4q
U17: 5. 6y-5
U18: 6. 11k-7
U19: 7. 6t+7
U20: 8. 5r+2s
U21: Thank you tomorrow i will come and study bye
U22: Do you remember my name
U23: My name is Rithika just study my name my
U24: Now say what is my name
U25: Ok you studied bye bye bye
U26: Tomorrow i will come to study agai
U27: Tomorrow you want to remember my name
U28: What is my name",Your name is **Rithika**. 😊,Small Talk,,,,,Academic,,,,1989,63,0.000896,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Practice / Quiz,gate_llm,gate_llm
94cf63c7-1488-49b9-97cb-33b496866caa,2026-08-14T15:20:16.927Z,1,3,"U1: 2 + 2 equal to 5
U2: Show me my upcoming assignments on CK-12
U3: What is a dependent variable in algebra","A **dependent variable** is the variable that **changes because of another variable**. In algebra, we usually: - use \(x\) for the **independent variable** (the input we choose) - use \(y\) for the **dependent variable** (the output that depends on \(x\)) Example: If \(y = 2x + 3\), - If \(x = 1\), ",Procedural,,,,,Academic,,,,1657,62,0.000762,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
b30a2737-f2ab-4707-b96d-6394d8a98198,2026-08-14T15:15:27.032Z,1,12,"U1: State syllabus class 9
U2: I have 2 chapters refraction of light and equations of motion for my exam
U3: let me tell you School exam time table on 17th I have English and physics and d 18th I have Mags and don't mind I have access and Biology
U4: let me tell you School exam time table on 17th I have English and prefix and don't 18th I have Mags and don't mind I have access and Biology on 17th I
U5: 17 : eng ,phy 18 : maths 19 : ss , bio
U6: I a
U7: I also have tuition till 1:00 pm
U8: Im okay with english
U9: let me tell you School exam time table on 17th I have English and prefix and don't 18th I have Mags and don't mind I have access and Biology on 17th I have English and on 17th I have and I also want to I have tuition tomorrow tell me from the starting
U10: I want you to tell me from all the starte
U11: I want you to tell me from all the started I am okay with R
U12: Start from refractive index and optical density","**Refractive index** tells how much light slows down (and bends) in a material compared to air/vacuum. If light’s speed in vacuum is \(c\) and in the medium is \(v\), then \[ n=\frac{c}{v} \] So a **bigger \(n\)** means light travels **slower** in that medium and bends more when entering it. **Optic",NA,,,,,Academic,,,,1890,62,0.000855,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
cc9c4aac-fead-4ddb-877d-9589b8b213f4,2026-08-14T15:06:56.795Z,31201371,10,"U1: I am studying in Chaitanya school
U2: Intergrated
U3: Prepaer a time table
U4: After 7 clock
U5: Moring between 5 45 to 7
U6: For weekends
U7: Now any notifications or alarms will you give
U8: Now Monday
U9: Confirm alarm and notifications on monday
U10: Monday i have maths chemistry physics test for 40 marks fully based formulae and definition","Nice, you told me just in time. Here’s how you can use **Monday 5:45–7:00 am** for a **formula + definition** test in **Maths, Chemistry, Physics (40 marks each).** I can’t actually *set* alarms, but I’ll show you what to set and what to do. --- ## Alarms to set for Monday On your phone/clock app, s",Small Talk,,,,,Academic,,,,1726,63,0.000791,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Practice / Quiz,gate_llm,gate_llm
12525ac2-ebbf-4556-a62e-cf37d0234383,2026-08-14T12:36:20.464Z,1,8,"U1: Flexi
U2: Flexi ji kya ap mere liye time table bna de sakte ho
U3: 9 class or me 8:30 ko schl jati hun or 2:30 ko schl se ati hun time table bna do or me subha 7:00 ko uthh tha hun
U4: Meri class grade 9 or mera 8:30 se 2:30 tk schl h or me roz subha 7:00 baje ko uth ta hun or 11 ko sota hun 10 se 11 tk phone dekh ke so jata hun
U5: Sb se muskil sub Assamese science math social science
U6: Dinner 9 baje ko plz
U7: Ise Hindi me hi but english latter me plz
U8: Hn bana do","Thik hai, ab main **har din ka focus** Hindi (English letters) mein de raha hoon. Time table wahi rahega, bas roz ka subject-focus alag hoga. --- ## 🗓 Monday (Somvaar) - **4:00 – 5:00** – Maths (new chapter ya tough sums) - **5:30 – 6:30** – Science – Physics - **7:00 – 7:45** – Social Science – Hi",Small Talk,,,,,Academic,,,,1815,62,0.000441,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
d112fa37-6b73-4c16-b2c8-edb7b89127f6,2026-08-14T14:50:40.150Z,1,7,"U1: Hi my name is getha iam studing in 1st year
U2: Oh sameto you
U3: What istheprepositipns of tense how many tipes
U4: Telugu lo pettandi
U5: Kavali ayoka pattikanu chupinchandi
U6: Chinnapilalaniela kantol pettali
U7: Miru evaleraa","నేను ఒక **AI సహాయకుడు (Flexi)** ని. నేను మనిషిని కాదు, కానీ మీలా విద్యార్థులకు **సురక్షితమైన, స్పష్టమైన** సమాధానాలు ఇవ్వడానికి తయారుచేసిన **కంప్యూటర్ ప్రోగ్రామ్** ని. - మీరు అడిగే విషయాలు నేను చదివి - నాకు ఉన్న సమాచారంలో నుంచి - మీకు సులభంగా అర్థమయ్యేలా వివరణ ఇస్తాను. మీరు ఇంగ్లీష్, తెలుగు, చదువు, ల",Small Talk,,,,,Academic,,,,1731,62,0.000792,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
592040fc-21ce-4f50-abf8-c864cc156dd5,2026-08-14T14:35:03.047Z,1,17,"U1: Hindi std 4 gala rimjhim swadhyay pothi question answers chapter 2
U2: Ek ek vakay question answer
U3: Ok
U4: Ha question : ant mai birbal ne kise nirukt kar diya
U5: Rimjhim chapter 2 mai niche diye gaye shabdo ki jagah or kon se shabdh istamal ho sakte hai
U6: 1. Bhudhiman
U7: 2. Murkh
U8: 3. Abhimaan
U9: 4. Vishwas
U10: 5. Sansar
U11: Koishs
U12: 7. Nakkara
U13: 8. Kamhi
U14: Kalahi
U15: Muskil
U16: Aakas
U17: Show me my upcoming assignments on CK-12",Type: ASSIGNMENT No pending assignments (due).,Conceptual,,,,,Academic,,,,1734,64,0.000796,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
